object,planned_status,required_variation_or_moment,current_status
p1,MEASURED,initial payment shown with timestamp,DATA_REQUIRED
p2,MEASURED,preannounced rescue payment with timestamp,DATA_REQUIRED
m,MEASURED_OR_ESTIMATED,pre-decision public supply signal and initial exposure,DATA_REQUIRED
alpha,MEASURED_OR_ESTIMATED,linked rejected incumbents remaining eligible,DATA_REQUIRED
gamma,MEASURED_OR_ESTIMATED,new second-window eligible drivers relative to expected incumbent supply,DATA_REQUIRED
F,ESTIMATED_OR_CALIBRATED,common primitive cost distribution in the baseline using exposed-driver acceptance under exogenous payment variation,DATA_REQUIRED
F_I_minus_F_E,ROBUSTNESS_ONLY,separate incumbent and entrant payment responses after rederiving the generalized equilibrium,DATA_REQUIRED
G,ESTIMATED_OR_CALIBRATED,rider posting and continuation across payments and coverage,DATA_REQUIRED
beta,ESTIMATED_BOUNDED_OR_CALIBRATED,rider continuation across delay and predicted completion,DATA_REQUIRED
delta,ESTIMATED_BOUNDED_OR_CALIBRATED,first-window response to announced p2 holding p1 fixed,DATA_REQUIRED
