m,beta,delta,pickup_rate,p1,p2,s,cutoff,equilibrium_count,completion_spread,stable,repeat_mass,rescue_mass,abandon_mass,first_completion,repeat_completion,rescue_completion,completion,repeat_coverage,rescue_coverage,repeat_fresh_accept_intensity,rescue_fresh_accept_intensity,expected_transfer,expected_fresh_acceptors,expected_pickup_cost,expected_notifications,expected_extra_notifications,mechanism,exploration_evaluations,certification_stable,certification_grids,solver_total_evaluations
0.5,0.8,0.8,0.25,0.4054444444444444,0.4054444444444444,1.0,0.4054444444444444,1,0.0,True,0.0,0.8295178471313638,0.1704821528686363,0.10909796163253466,0.0,0.07389264768200982,0.18299060931454447,0.18349498312330623,0.18349498312330623,0.2027222222222222,0.2027222222222222,0.07419252593208585,0.08163537492419952,0.0,0.2013478690922981,0.0,baseline,57,True,"801,1601,3201",3313
0.5,0.8,0.8,0.25,0.330805715292325,0.40118485799847625,4.0,0.27853501301725786,1,0.0,True,0.20624365627085284,0.6701727586433661,0.12358358508578113,0.08699842368585281,0.020930365359176924,0.18757337153306253,0.29550216057809225,0.17431192403333548,0.48074558060721967,0.1654028576461625,0.5940363826636192,0.11095505668346262,0.2516368647159976,0.013486916832119557,0.8403807140249379,0.5852577093776167,expanded_search,2800,True,"801,1601,3201",3313
0.5,0.8,0.8,0.25,0.3409168264034361,0.44880137219862865,1.0,0.3005063962782618,1,0.0,True,0.6248666932505794,0.24581851005119576,0.12931479669822482,0.09194864454268623,0.06151724272937757,0.03598304083110551,0.1894489281031693,0.17358947745419895,0.2581054590825359,0.17045841320171806,0.22440068609931432,0.0684683413508589,0.09169183075139385,0.0,0.24689782136436597,0.0,fixed_rescue,456,True,"801,1601,3201",3313
1.0,0.8,0.8,0.25,0.37111111111111106,0.37111111111111106,1.0,0.37111111111111106,1,0.0,True,0.0,0.8524734982332123,0.14752650176678775,0.19497613640409958,0.0,0.11468083305112832,0.3096569694552279,0.3100327257309003,0.3100327257309003,0.37111111111111106,0.37111111111111106,0.114917141997829,0.13727367417881028,0.0,0.3698991220387104,0.0,baseline,57,True,"801,1601,3201",3352
1.0,0.8,0.8,0.25,0.2730279375145473,0.3520737468873652,4.0,0.23263963286872713,1,0.0,True,0.22694309649297162,0.6791647336411526,0.09389216986587585,0.15089098205066256,0.03517553319177109,0.2624496260348212,0.4485161412772548,0.2690544011360035,0.6707909879351982,0.2730279375145473,0.9916283208827941,0.143202980104428,0.4236735248944227,0.017428115495333813,1.6957534384216948,1.1737618606476052,expanded_search,2838,True,"801,1601,3201",3352
1.0,0.8,0.8,0.25,0.30191682640343614,0.41896637219862864,1.0,0.2663403886061706,1,0.0,True,0.6127028539052981,0.2791736309382094,0.1081235151564925,0.16322700503670018,0.09386970600560797,0.06500911524321289,0.32210582628552104,0.28644321893441965,0.4353743624158967,0.30191682640343614,0.41896637219862864,0.1048584562499464,0.16149964067760667,0.0,0.4770256395120377,0.0,fixed_rescue,457,True,"801,1601,3201",3352
4.0,0.8,0.8,0.25,0.2389999999999999,0.2389999999999999,1.0,0.2389999999999999,1,0.0,True,0.0,0.9214848883048621,0.07851511169513802,0.4684506536649619,0.0,0.16594590582897886,0.6343965594939408,0.6155724752496213,0.6155724752496213,0.9559999999999996,0.9559999999999996,0.15162077771905177,0.2577182904550301,0.0,1.0783192069248124,0.0,baseline,57,True,"801,1601,3201",3408
4.0,0.8,0.8,0.25,0.15143819168358733,0.2260227996399748,3.769,0.13429756027995343,1,0.0,True,0.24045967192032308,0.7149241934035179,0.04461613467615903,0.35267252379561237,0.05848727859592726,0.3201914511294998,0.7313512535210395,0.49049483671588195,0.9031606645308264,0.6057527667343493,1.967801051648015,0.13463586517223158,0.7698620104075025,0.01226348793960677,5.821757966714177,3.926699481041553,expanded_search,2886,True,"801,1601,3201",3408
4.0,0.8,0.8,0.25,0.17433333333333328,0.283825,1.0,0.15377481740340468,1,0.0,True,0.5011153946975757,0.44609897752688155,0.05278562777554278,0.37932181145357435,0.12109411301783386,0.16108393067306248,0.6614998551444707,0.5413956380029316,0.8090036059410777,0.6973333333333331,1.1353,0.1329588227894641,0.38202684623571764,0.0,1.6911370473051424,0.0,fixed_rescue,465,True,"801,1601,3201",3408
16.0,0.8,0.8,0.25,0.10704617641426988,0.10704617641426988,1.0,0.10704617641426988,1,0.0,True,0.0,0.9700303157938147,0.029969684206185284,0.7318907503329715,0.0,0.1280555913987447,0.8599463417317161,0.8196288889765917,0.8196288889765917,1.712738822628318,1.712738822628318,0.09205396780381929,0.2675915719821863,0.0,2.499777020961533,0.0,baseline,57,True,"801,1601,3201",3321
16.0,0.8,0.8,0.25,0.06230772393985262,0.1111798372288374,2.0890000000000004,0.05618447742967961,1,0.0,True,0.2066661740635358,0.7767218399122018,0.016611986024262386,0.5560551625752768,0.05248309077004439,0.28805616300074766,0.8965944163460688,0.6654254409363399,0.9717645505960457,0.996923583037642,2.6872512626416327,0.06994267081146695,0.8751996634612992,0.002893932152382143,11.169682359358934,5.164924549929813,expanded_search,2796,True,"801,1601,3201",3321
16.0,0.8,0.8,0.25,0.07241883505096372,0.12062108722883738,1.0,0.0661732480407376,1,0.0,True,0.2732258632350017,0.7072559431590137,0.019518193605984484,0.6058203910008428,0.06294221691748764,0.21374409563552554,0.882506703553856,0.7159573150454678,0.9392569631249181,1.1587013608154195,1.929937395661398,0.07421305419539158,0.5410558231407959,0.0,5.04768935787938,0.0,fixed_rescue,468,True,"801,1601,3201",3321
