m,mechanism,completion_formal,p1_formal,p2_formal,s_formal,cutoff_formal,completion_dense,p1_dense,p2_dense,s_dense,cutoff_dense,completion_difference,p1_difference,p2_difference,s_difference,cutoff_difference
0.5,baseline,0.1829822934850949,0.4081666666666666,0.4081666666666666,1.0,0.4081666666666666,0.18299060931454447,0.4054444444444444,0.4054444444444444,1.0,0.4054444444444444,8.31582944957332e-06,-0.002722222222222237,-0.002722222222222237,0.0,-0.002722222222222237
0.5,expanded_search,0.2954896192006989,0.3333333333333332,0.4033333333333332,4.0,0.2817594575769902,0.29550216057809225,0.330805715292325,0.40118485799847625,4.0,0.27853501301725786,1.2541377393371356e-05,-0.002527618041008206,-0.0021484753348569585,0.0,-0.0032244445597323645
0.5,fixed_rescue,0.1894481422958386,0.3414999999999999,0.4492474999999999,1.0,0.3013471482392934,0.1894489281031693,0.3409168264034361,0.44880137219862865,1.0,0.3005063962782618,7.858073307054347e-07,-0.0005831735965637908,-0.0004461278013712655,0.0,-0.0008407519610316161
1.0,baseline,0.3096540699732173,0.3685,0.3685,1.0,0.3685,0.3096569694552279,0.37111111111111106,0.37111111111111106,1.0,0.37111111111111106,2.899482010598753e-06,0.002611111111111064,0.002611111111111064,0.0,0.002611111111111064
1.0,expanded_search,0.4485150946402338,0.2620932937206307,0.3562269673195203,4.0,0.2156650729865742,0.4485161412772548,0.2730279375145473,0.3520737468873652,4.0,0.23263963286872713,1.0466370209960552e-06,0.010934643793916565,-0.0041532204321551025,0.0,0.016974559882152934
1.0,fixed_rescue,0.322105574709997,0.298426627053964,0.4162963696962825,1.0,0.2615375371666579,0.32210582628552104,0.30191682640343614,0.41896637219862864,1.0,0.2663403886061706,2.5157552402399475e-07,0.003490199349472145,0.0026700025023461693,0.0,0.004802851439512701
4.0,baseline,0.6343939966992174,0.2387599603872974,0.2387599603872974,1.0,0.2387599603872974,0.6343965594939408,0.2389999999999999,0.2389999999999999,1.0,0.2389999999999999,2.562794723437456e-06,0.0002400396127024973,0.0002400396127024973,0.0,0.0002400396127024973
4.0,expanded_search,0.731313724086402,0.1504119770960238,0.2251145997299811,3.769,0.1330753711089482,0.7313512535210395,0.15143819168358733,0.2260227996399748,3.769,0.13429756027995343,3.752943463741776e-05,0.0010262145875635231,0.0009081999099936899,0.0,0.0012221891710052224
4.0,fixed_rescue,0.6614633229214678,0.1802599603872973,0.2887144673195203,1.0,0.1611215798729999,0.6614998551444707,0.17433333333333328,0.283825,1.0,0.15377481740340468,3.6532223002927466e-05,-0.0059266270539640176,-0.00488946731952028,0.0,-0.0073467624695952305
16.0,baseline,0.8599521470098436,0.1057190958417936,0.1057190958417936,1.0,0.1057190958417936,0.8599463417317161,0.10704617641426988,0.10704617641426988,1.0,0.10704617641426988,-5.805278127435365e-06,0.001327080572476269,0.001327080572476269,0.0,0.001327080572476269
16.0,expanded_search,0.8966013724255033,0.0616493956651617,0.1105651232023448,2.0890000000000004,0.0554221530966278,0.8965944163460688,0.06230772393985262,0.1111798372288374,2.0890000000000004,0.05618447742967961,-6.956079434461415e-06,0.0006583282746909225,0.0006147140264926021,0.0,0.0007623243330518101
16.0,fixed_rescue,0.8823943502145509,0.069596440627115,0.1179856764355687,1.0,0.0629092719828852,0.882506703553856,0.07241883505096372,0.12062108722883738,1.0,0.0661732480407376,0.00011235333930503799,0.002822394423848726,0.0026354107932686777,0.0,0.0032639760578523913
