m,beta,delta,pickup_rate,p1,p2,s,cutoff,equilibrium_count,completion_spread,stable,repeat_mass,rescue_mass,abandon_mass,first_completion,repeat_completion,rescue_completion,completion,repeat_coverage,rescue_coverage,repeat_fresh_accept_intensity,rescue_fresh_accept_intensity,expected_transfer,expected_fresh_acceptors,expected_pickup_cost,expected_notifications,expected_extra_notifications,mechanism,exploration_evaluations,certification_stable,certification_grids,holdout_share,rescue_bonus,rescue_incumbent_intensity,rescue_core_fresh_intensity,rescue_outer_fresh_intensity,rescue_total_intensity,solver_total_evaluations,quick
0.5,0.6,0.4,0.25,0.35,0.35,1.0,0.35,1,0.0,True,0.0,0.6410256410256461,0.3589743589743539,0.1043529365000152,0.0,0.0561537212710395,0.1605066577710548,0.1605429792307926,0.1605429792307926,0.175,0.175,0.0561773302198691,0.0612104077644218,0.0,0.1748868793269196,0.0,baseline,55,True,"401,801,1601",0.0,0.0,0.0,0.175,0.0,0.175,2769,False
0.5,0.6,0.4,0.25,0.2999999999999999,0.3381749999999999,4.0,0.2918354085428639,1,0.0,True,0.1438047457467,0.5704809685390143,0.2857142857142857,0.0950398241808429,0.0124229211617928,0.1339404108124942,0.24140315615513,0.1427985259111976,0.3881000329701454,0.1499999999999999,0.4680166666666665,0.0775341220293059,0.1745705225811995,0.0092699549151146,0.7337346061929668,0.5176774005432678,expanded_search,2328,True,"401,801,1601",0.0272153048571201,0.038175,0.023169795728568,0.1690874999999999,0.2989291666666666,0.4911864623952345,2769,False
0.5,0.6,0.4,0.25,0.3061249999999999,0.3678387499999999,1.0,0.302268366496597,1,0.0,True,0.5634714778506502,0.1424073427822735,0.2941211793670762,0.0973282300468936,0.0482615407987262,0.0165515091779363,0.1621412800235561,0.1435769578070532,0.1948321924885868,0.1530624999999999,0.1839193749999999,0.0506569550467409,0.0670744198677988,0.0,0.2105448652134394,0.0,fixed_rescue,386,True,"401,801,1601",0.0125982311258566,0.06171375,0.0327851917517014,0.1839193749999999,0.0,0.2167045667517014,2769,False
0.75,0.6,0.4,0.25,0.343875,0.343875,1.0,0.343875,1,0.0,True,0.0,0.6506001143074871,0.3493998856925128,0.1491584274454756,0.0,0.0749815942389878,0.2241400216844635,0.2273323336947619,0.2273323336947619,0.25790625,0.25790625,0.0770761499567449,0.0850658657961269,0.0,0.2473743825405363,0.0,baseline,55,True,"401,801,1601",0.0,0.0,0.0,0.25790625,0.0,0.25790625,2814,False
0.75,0.6,0.4,0.25,0.2763749999999999,0.3249187499999999,4.0,0.2674351609729863,1,0.0,True,0.1805249239868854,0.5648542433995372,0.2546208326135775,0.1315123335833409,0.0205915448749687,0.1692600661766763,0.3213639446349861,0.1926404163883978,0.5060736894115375,0.2072812499999999,0.6622562499999999,0.0970334785359583,0.2436529914484932,0.0112420146586871,1.0835403771605985,0.7525290424411453,expanded_search,2370,True,"401,801,1601",0.032346771694305,0.04854375,0.0431126917702601,0.2436890624999999,0.4185671874999999,0.70536894177026,2814,False
0.75,0.6,0.4,0.25,0.2938749999999999,0.35816125,1.0,0.2898453550984796,1,0.0,True,0.5649777230748239,0.1575690403641281,0.277453236561048,0.1379620511699114,0.0642730419056346,0.0245072364628515,0.2267423295383975,0.2002279134180481,0.2737477398048982,0.2204062499999999,0.2686209375,0.0682093804231565,0.0947985360736711,0.0,0.3078932248373336,0.0,fixed_rescue,389,True,"401,801,1601",0.0137121051519193,0.06428625,0.0512369211761402,0.2686209375,0.0,0.3198578586761402,2814,False
1.0,0.6,0.4,0.25,0.3324999999999999,0.3324999999999999,1.0,0.3324999999999999,1,0.0,True,0.0,0.6679151061173483,0.3320848938826517,0.1888166135332895,0.0,0.0904395837659861,0.2792561972992757,0.2828713311360143,0.2828713311360143,0.3324999999999999,0.3324999999999999,0.0928526856020091,0.1063068550687843,0.0,0.3197198648685245,0.0,baseline,55,True,"401,801,1601",0.0,0.0,0.0,0.3324999999999999,0.0,0.3324999999999999,2859,False
1.0,0.6,0.4,0.25,0.2613749999999999,0.31216875,4.0,0.2529951768203052,1,0.0,True,0.191293297024769,0.5727953812625893,0.2359113217126416,0.1651036445980567,0.0259392865270303,0.1937650551666506,0.3848079862917377,0.2364333197601544,0.5898293172462833,0.2613749999999999,0.8320083333333333,0.110421241187874,0.3019990345947706,0.0124266204878444,1.4237523247077248,0.9855311502890792,expanded_search,2414,True,"401,801,1601",0.0320605382293437,0.05079375,0.0591735731796947,0.31216875,0.5198395833333334,0.8911819065130281,2859,False
1.0,0.6,0.4,0.25,0.2763749999999999,0.3443362499999999,1.0,0.2716688059423466,1,0.0,True,0.5562742677347106,0.1891048996517118,0.2546208326135775,0.1721455938590466,0.075169694749077,0.0355600952910897,0.2828753838992134,0.2450329658453074,0.3409815145126558,0.2763749999999999,0.3443362499999999,0.0805963927512466,0.1206945618814,0.0,0.4110612605801025,0.0,fixed_rescue,390,True,"401,801,1601",0.0170282914795233,0.06796125,0.0726674440576533,0.3443362499999999,0.0,0.4170036940576532,2859,False
1.5,0.6,0.4,0.25,0.3113749999999999,0.3113749999999999,1.0,0.3113749999999999,1,0.0,True,0.0,0.6985538815272028,0.3014461184727972,0.2569666772280504,0.0,0.1125211215963349,0.3694877988243853,0.373159088368924,0.373159088368924,0.4670624999999999,0.4670624999999999,0.1150492633589429,0.1408364367736642,0.0,0.4523048952988013,0.0,baseline,55,True,"401,801,1601",0.0,0.0,0.0,0.4670624999999999,0.0,0.4670624999999999,2900,False
