m,beta,delta,pickup_rate,incumbent_retention,regime,p1,p2,s,cutoff,equilibrium_count,completion_spread,stable,repeat_mass,rescue_mass,abandon_mass,first_completion,repeat_completion,rescue_completion,completion,repeat_coverage,rescue_coverage,repeat_fresh_accept_intensity,rescue_fresh_accept_intensity,repeat_incumbent_intensity,rescue_incumbent_intensity,repeat_core_fresh_intensity,rescue_core_fresh_intensity,repeat_outer_fresh_intensity,rescue_outer_fresh_intensity,repeat_total_intensity,rescue_total_intensity,expected_transfer,expected_fresh_acceptors,expected_pickup_cost,expected_notifications,expected_extra_notifications,mechanism,design_value,completion_value,outer_contact_cost,exploration_evaluations,certification_stable,certification_grids,adversarial_seed_count,adversarial_evaluations,adversarial_improvement,solver_total_evaluations,quick
0.5,0.6,0.4,0.25,0.8,expanded_search,0.3141657869150308,0.3444341886337245,4.0,0.30927594298730576,1,0.0,True,0.11803724728073654,0.5765772033439345,0.305385549375329,0.09826270462616916,0.010197782263190869,0.13218673637425185,0.24064722326361188,0.1470367631137975,0.39018420461234743,0.1570828934575154,0.48053504393411584,0.001955937571090005,0.014063298258567492,0.1570828934575154,0.17221709431686225,0.0,0.30831794961725356,0.1590388310286054,0.49459834219268334,0.07960420550398865,0.17369035906050073,0.0094339817935313,0.7122383359430372,0.5081705056676279,expanded_search,0.23429509194276651,1.0,0.0125,1519,True,"401,801,1601",1,449,0.00011627518935011794,2960,False
0.5,0.6,0.4,0.25,0.8,core_arrivals,0.3278385601993476,0.3613995825716026,1.0,0.32682577080849406,1,0.0,True,0.582731288473789,0.09211016003637788,0.3251585514898332,0.10133473802982429,0.05040580896025917,0.009294797321616102,0.16103534431169958,0.15153326186165056,0.1767779556673095,0.1639192800996738,0.1806997912858013,0.0004051157563414121,0.013829524705243413,0.1639192800996738,0.1806997912858013,0.0,0.0,0.16432439585601522,0.1945293159910447,0.05310553832121012,0.0640268797483955,0.0,0.1926087591356533,0.0,fixed_arrivals,0.16103534431169958,1.0,0.0125,258,True,"401,801,1601",1,286,5.6510621846112e-05,2960,False
0.5,0.6,0.4,0.25,0.8,incumbent_only,0.4352214960819896,0.5140196294558859,1.0,0.4291470089723418,1,0.0,True,0.25076602981686835,0.23549688202939895,0.5137370881537328,0.10906691848071108,0.0002773325619175454,0.0035822158192586424,0.11292646686188727,0.0024268452817947086,0.03337924554346804,0.0,0.0,0.0024297948438591235,0.03394904819341762,0.0,0.0,0.0,0.0,0.0024297948438591235,0.03394904819341762,0.049430297774783825,0.0,0.0,0.0,0.0,incumbent_only,0.11292646686188727,1.0,0.0125,261,True,"401,801,1601",1,186,8.43522970561672e-06,2960,False
0.75,0.6,0.4,0.25,0.8,expanded_search,0.29320655813839996,0.3309876177867612,4.0,0.2879010204692506,1,0.0,True,0.14719528925561512,0.5762443648474489,0.2765603458969359,0.13726273727887406,0.01676273784149694,0.1662410008456882,0.3202664759660592,0.19995575068915805,0.5065406586004331,0.21990491860379996,0.6804628533602838,0.0031833226014896247,0.025851958390506385,0.21990491860379996,0.24824071334007092,0.0,0.43222214002021286,0.22308824120528958,0.7063148117507901,0.10018499227407703,0.24175544873026047,0.011473078854583086,1.0474407549709353,0.7384249330276341,expanded_search,0.3110361643032138,1.0,0.0125,1519,True,"401,801,1601",1,446,8.73823006509733e-05,2923,False
0.75,0.6,0.4,0.25,0.8,core_arrivals,0.31344796782129875,0.352372047915456,1.0,0.312165302362424,1,0.0,True,0.5854784704369428,0.11015230175998636,0.3043692278030709,0.14330832306339308,0.06682555091793944,0.014992233300622996,0.22512610728195553,0.21010525386772727,0.2505405632130929,0.23508597586597407,0.264279035936592,0.0007695992753248394,0.024124047331819203,0.23508597586597407,0.264279035936592,0.0,0.0,0.2358555751412989,0.28840308326841124,0.07114887972083236,0.09058519405921721,0.0,0.2834227806472544,0.0,fixed_arrivals,0.22512610728195553,1.0,0.0125,263,True,"401,801,1601",1,251,6.805704416329439e-05,2923,False
0.75,0.6,0.4,0.25,0.8,incumbent_only,0.4186319861934859,0.5046340777103429,1.0,0.41189660349937435,1,0.0,True,0.2664024798878189,0.25354360560745975,0.4800539145047213,0.15450569699250805,0.00045862989624998135,0.0058576093543237645,0.16082193624308178,0.0040330748368711524,0.054122758802461625,0.0,0.0,0.004041229616466935,0.05564248452658111,0.0,0.0,0.0,0.0,0.004041229616466935,0.05564248452658111,0.06782897324868403,0.0,0.0,0.0,0.0,incumbent_only,0.16082193624308178,1.0,0.0125,261,True,"401,801,1601",1,182,8.775113538916912e-06,2923,False
1.0,0.6,0.4,0.25,0.8,expanded_search,0.27587015167549606,0.3189090769898232,4.0,0.2705103065198596,1,0.0,True,0.1685788942707223,0.5774425756688597,0.25397853006041804,0.1716259891496682,0.02275754524448632,0.18902741673566184,0.3834109511298164,0.24433568394970095,0.5924895317477493,0.27587015167549606,0.8589696412926263,0.004287876124509183,0.03871901637597089,0.27587015167549606,0.3189090769898232,0.0,0.5400605643028031,0.28015802780000526,0.8976886576685972,0.11390717411347498,0.29973971243650405,0.012626297192897085,1.369297495695609,0.9571177545267063,expanded_search,0.37144697919823255,1.0,0.0125,1519,True,"401,801,1601",1,451,0.00013772198843953198,2862,False
1.0,0.6,0.4,0.25,0.8,core_arrivals,0.29999999999999993,0.3449999999999999,1.0,0.2984798349306818,1,0.0,True,0.5911764316853284,0.12310928260038576,0.2857142857142857,0.18063832984643977,0.07985416584398587,0.020310138772910165,0.2808026344633358,0.2600821644991068,0.317652439913727,0.29999999999999993,0.3449999999999999,0.0012161320554544997,0.03721613205545449,0.29999999999999993,0.3449999999999999,0.0,0.0,0.30121613205545444,0.3822161320554544,0.08515474658378168,0.11416900737950059,0.0,0.3709726215382573,0.0,fixed_arrivals,0.2808026344633358,1.0,0.0125,261,True,"401,801,1601",1,152,0.0,2862,False
1.0,0.6,0.4,0.25,0.8,incumbent_only,0.40316151375763926,0.4958644882625627,1.0,0.39587272006297514,1,0.0,True,0.28005197201543497,0.2696179157338145,0.45033011225075054,0.19511106002049836,0.0006541090901008303,0.008326833907990288,0.20409200301858949,0.005814067466763318,0.07687757446573057,0.0,0.0,0.005831034955731296,0.07999341455967005,0.0,0.0,0.0,0.0,0.005831034955731296,0.07999341455967005,0.08305396315428236,0.0,0.0,0.0,0.0,incumbent_only,0.20409200301858949,1.0,0.0125,261,True,"401,801,1601",1,218,4.534638219491627e-05,2862,False
1.5,0.6,0.4,0.25,0.8,expanded_search,0.24916866915980018,0.29853775958985257,4.0,0.24413398062070088,1,0.0,True,0.19789420093985594,0.5808677669169651,0.22123803214317894,0.23023233544530397,0.03255524054149292,0.2141436044245565,0.4769311804113534,0.315998131738339,0.7081487698408321,0.3737530037397003,1.1662265575391157,0.0060416262469191635,0.06528453476298203,0.3737530037397003,0.4478066393847788,0.0,0.7184199181543369,0.37979462998661945,1.2315110923020978,0.12940838247576278,0.3911713008086403,0.013425996163609791,1.968930338791138,1.3607962916141183,expanded_search,0.4599212267661769,1.0,0.0125,1518,True,"401,801,1601",1,442,7.437338151167205e-05,2874,False
