m,beta,delta,pickup_rate,incumbent_retention,regime,p1,p2,s,cutoff,equilibrium_count,completion_spread,stable,repeat_mass,rescue_mass,abandon_mass,first_completion,repeat_completion,rescue_completion,completion,repeat_coverage,rescue_coverage,repeat_fresh_accept_intensity,rescue_fresh_accept_intensity,repeat_incumbent_intensity,rescue_incumbent_intensity,repeat_core_fresh_intensity,rescue_core_fresh_intensity,repeat_outer_fresh_intensity,rescue_outer_fresh_intensity,repeat_total_intensity,rescue_total_intensity,expected_transfer,expected_fresh_acceptors,expected_pickup_cost,expected_notifications,expected_extra_notifications,expected_committed_outer_capacity,mechanism,design_value,completion_value,search_cost,search_cost_basis,search_resource,exploration_evaluations,certification_stable,certification_grids,adversarial_seed_count,adversarial_evaluations,adversarial_improvement,solver_total_evaluations,quick
0.5,0.8,0.8,0.25,0.8,expanded_search,0.3536531252591882,0.4056155851629274,4.0,0.3273399617691016,1,0.0,True,0.15795295300323886,0.7052578324588998,0.1367892145378613,0.09758404909534202,0.01480888697558757,0.18176154725415825,0.29415448332508787,0.17084803383725833,0.4696446823232814,0.1768265626295941,0.6028978369925215,0.010525265396034645,0.03131024935753033,0.1768265626295941,0.2028077925814637,0.0,0.40009004441105783,0.18735182802562875,0.6342080863500519,0.11347342944815486,0.2486601854902848,0.013769483576680746,0.8173779163020423,0.5805289214231178,0.8231442384682048,expanded_search,0.2838651803442353,1.0,0.0125,committed_reach,0.8231442384682048,1668,True,"401,801,1601",3,2872,0.00021763808933566997,6939,False
0.5,0.8,0.8,0.25,0.8,core_arrivals,0.35022409196922805,0.4502488464990087,1.0,0.32899332603938286,1,0.0,True,0.6428931604279867,0.22235881042815578,0.1347480291438575,0.09855762781215828,0.059440992491992216,0.02934087430655508,0.18733949461070556,0.1677349776100645,0.23938398763870772,0.17511204598461402,0.22512442324950435,0.008492306371938074,0.04850220818385034,0.17511204598461402,0.22512442324950435,0.0,0.0,0.1836043523565521,0.2736266314333547,0.06854561814021076,0.08964834171110993,0.0,0.23847135166554442,0.0,0.0,fixed_arrivals,0.18733949461070556,1.0,0.0125,committed_reach,0.0,286,True,"401,801,1601",3,958,9.518316761336632e-05,6939,False
0.5,0.8,0.8,0.25,0.8,incumbent_only,0.4392108822283975,0.588778718119336,1.0,0.38600456192364596,1,0.0,True,0.45687643004035955,0.34732319317376353,0.19580037678587686,0.09842965350103208,0.004448242707873738,0.012511011755217119,0.11538890796412293,0.021057653247533507,0.07790743305616324,0.0,0.0,0.021282528121900613,0.08110966247827603,0.0,0.0,0.0,0.0,0.021282528121900613,0.08110966247827603,0.05255130901932772,0.0,0.0,0.0,0.0,0.0,incumbent_only,0.11538890796412293,1.0,0.0125,committed_reach,0.0,287,True,"401,801,1601",3,867,1.263673989294889e-05,6939,False
0.75,0.8,0.8,0.25,0.8,expanded_search,0.32326029852429006,0.3818332331568286,4.0,0.2989755575624464,1,0.0,True,0.17635949850011404,0.7042222459211962,0.11941825557868979,0.1359367174098174,0.021616360222483096,0.22330548241883727,0.3808585600511378,0.22664421297890344,0.5863414090129753,0.24244522389321754,0.832999699470486,0.014570844577106182,0.04971460535662931,0.24244522389321754,0.28637492486762145,0.0,0.5466247746028645,0.2570160684703237,0.8827143048271153,0.13619610924246808,0.34036757379330707,0.01635119747187747,1.2140682834122227,0.8569023570894775,1.2168067141482584,expanded_search,0.3656484761242845,1.0,0.0125,committed_reach,1.2168067141482584,1650,True,"401,801,1601",3,2875,0.0001668980207334414,7057,False
0.75,0.8,0.8,0.25,0.8,core_arrivals,0.329479199224393,0.4342683042974893,1.0,0.3085169058630007,1,0.0,True,0.6344674079401974,0.24268808117987298,0.12284451087992962,0.13850826868488642,0.0771987697466475,0.04266565172304532,0.2583726901545792,0.2287068640712366,0.33045176308569557,0.24710939941829474,0.325701228223117,0.012577376016835397,0.07545083906069319,0.24710939941829474,0.325701228223117,0.0,0.0,0.25968677543513013,0.40115206728381014,0.0895993225150013,0.12546274184190928,0.0,0.3499932846030323,0.0,0.0,fixed_arrivals,0.2583726901545792,1.0,0.0125,committed_reach,0.0,290,True,"401,801,1601",3,1059,0.00029434264879979466,7057,False
0.75,0.8,0.8,0.25,0.8,incumbent_only,0.4225061649005574,0.5784507309560789,1.0,0.37044037776139005,1,0.0,True,0.457461550729481,0.3596333950426228,0.18290505422789616,0.14008536011993555,0.006154312919036457,0.018457119106119954,0.16469679214509195,0.030756561657229776,0.11733206346059867,0.0,0.0,0.03123947228350043,0.12480621191681333,0.0,0.0,0.0,0.0,0.03123947228350043,0.12480621191681333,0.07246369745028601,0.0,0.0,0.0,0.0,0.0,incumbent_only,0.16469679214509195,1.0,0.0125,committed_reach,0.0,287,True,"401,801,1601",3,895,1.4221844914841242e-05,7057,False
1.0,0.8,0.8,0.25,0.8,expanded_search,0.3001825794960522,0.3613771587617931,4.0,0.2784841755812274,1,0.0,True,0.18488674369581995,0.7078772220540299,0.10723603425015016,0.17010444850131676,0.02664504634833681,0.24954845829522207,0.44629795314487564,0.27206338554172355,0.6655126958775237,0.3001825794960522,1.028841968380506,0.017358723131859845,0.06631438654445257,0.3001825794960522,0.3613771587617931,0.0,0.6674648096187128,0.317541302627912,1.0951563549249586,0.14924188371062744,0.41518562359798744,0.017695392847062237,1.5978238949158277,1.1249152413216197,1.589138916007893,expanded_search,0.426433716694777,1.0,0.0125,committed_reach,1.589138916007893,1650,True,"401,801,1601",3,2859,0.00033106761320178535,7023,False
1.0,0.8,0.8,0.25,0.8,core_arrivals,0.3108368884670545,0.4190282446793735,1.0,0.29033022578707113,1,0.0,True,0.625558501923466,0.26168267390802846,0.11275882416850558,0.17365772433677118,0.09000089093391772,0.0548578751131752,0.3185164903838641,0.2790908957248415,0.4066593896433077,0.3108368884670545,0.4190282446793735,0.016405330143986686,0.1029584151138419,0.3108368884670545,0.4190282446793735,0.0,0.0,0.3272422186110412,0.5219866597932155,0.10494182270378725,0.15676471903473893,0.0,0.45737760588340354,0.0,0.0,fixed_arrivals,0.3185164903838641,1.0,0.0125,committed_reach,0.0,291,True,"401,801,1601",3,969,0.0004190625069775411,7023,False
1.0,0.8,0.8,0.25,0.8,incumbent_only,0.4068538573962906,0.5684795317455065,1.0,0.35607347542114703,1,0.0,True,0.45704244830849317,0.37147626395593253,0.1714812877355743,0.17769403655158014,0.007559130799906112,0.02411751627455635,0.2093706836260426,0.03981019985738895,0.15627177544183163,0.0,0.0,0.04062430558011485,0.16992484505948757,0.0,0.0,0.0,0.0,0.04062430558011485,0.16992484505948757,0.08908128009045717,0.0,0.0,0.0,0.0,0.0,incumbent_only,0.2093706836260426,1.0,0.0125,committed_reach,0.0,287,True,"401,801,1601",3,966,4.1490367234137127e-05,7023,False
1.5,0.8,0.8,0.25,0.8,expanded_search,0.26767184983665765,0.3284931720080708,4.0,0.25063157911965434,1,0.0,True,0.18916904731074924,0.7194539348260994,0.09137701786315133,0.22948346902549663,0.03274475187490625,0.2760073307760864,0.5382355516764893,0.3442371729981384,0.7629283691205242,0.40150777475498645,1.3459590320484252,0.02044832486040398,0.09343391146609979,0.40150777475498645,0.49273975801210623,0.0,0.8532192740363189,0.42195609961539043,1.439392943514525,0.160857636551904,0.5251249067880105,0.018395446188438094,2.3133254806201755,1.6279811300294924,2.262801065120305,expanded_search,0.5099505383624855,1.0,0.0125,committed_reach,2.262801065120305,1630,True,"401,801,1601",3,2860,0.0003301069315256866,7157,False
