m,beta,delta,pickup_rate,incumbent_retention,regime,p1,p2,s,cutoff,equilibrium_count,completion_spread,stable,repeat_mass,rescue_mass,abandon_mass,first_completion,repeat_completion,rescue_completion,completion,repeat_coverage,rescue_coverage,repeat_fresh_accept_intensity,rescue_fresh_accept_intensity,repeat_incumbent_intensity,rescue_incumbent_intensity,repeat_core_fresh_intensity,rescue_core_fresh_intensity,repeat_outer_fresh_intensity,rescue_outer_fresh_intensity,repeat_total_intensity,rescue_total_intensity,expected_transfer,expected_fresh_acceptors,expected_pickup_cost,expected_notifications,expected_extra_notifications,mechanism,design_value,completion_value,outer_contact_cost,exploration_evaluations,certification_stable,certification_grids,adversarial_seed_count,adversarial_evaluations,adversarial_improvement,solver_total_evaluations,quick
0.5,0.8,0.8,0.25,0.8,expanded_search,0.33327667520116866,0.4034315479195127,4.0,0.29853087163786235,1,0.0,True,0.20211585506742197,0.6729160124235949,0.12496813250898316,0.09244755356146918,0.019172240998405185,0.18277264194634582,0.29439243650622016,0.16517792362814074,0.47296590335541283,0.16663833760058433,0.5985297625056922,0.013898321425322525,0.04196027051266014,0.16663833760058433,0.20171577395975634,0.0,0.39681398854593586,0.18053665902590685,0.6404900330183524,0.11093652387530557,0.2506372111647768,0.013580434304466598,0.830913843299132,0.5796590430187955,expanded_search,0.29439243650622016,1.0,0.0,1490,True,"401,801,1601",1,475,2.7803490176836476e-08,2980,False
0.5,0.8,0.8,0.25,0.8,core_arrivals,0.3502195929809633,0.45025383889328563,1.0,0.3289875604461159,1,0.0,True,0.6429041824855903,0.22235045231186298,0.1347453652025467,0.09855672115255848,0.059442080467776236,0.029340693026282057,0.18733949464661678,0.16773352709393224,0.23938915934767366,0.17510979649048164,0.22512691944664281,0.008492813013938961,0.048506511378867904,0.17510979649048164,0.22512691944664281,0.0,0.0,0.1836026095044206,0.2736334308255107,0.06854503566582654,0.08964875635201146,0.0,0.23847442450305292,0.0,fixed_arrivals,0.18733949464661678,1.0,0.0,259,True,"401,801,1601",1,280,0.00023321058781597404,2980,False
0.5,0.8,0.8,0.25,0.8,incumbent_only,0.4391881340091146,0.5876403480545904,1.0,0.38597866032995204,1,0.0,True,0.4543513948120333,0.349866311408784,0.19578229377918263,0.09842765806118695,0.004424154593667418,0.01253689921045119,0.11538871186530555,0.021058888035453208,0.07749702218585837,0.0,0.0,0.021283789471665027,0.08066467508985536,0.0,0.0,0.0,0.0,0.021283789471665027,0.08066467508985536,0.052538483494895385,0.0,0.0,0.0,0.0,incumbent_only,0.11538871186530555,1.0,0.0,259,True,"401,801,1601",1,216,1.1467895777619863e-05,2980,False
0.75,0.8,0.8,0.25,0.8,expanded_search,0.2998088655952637,0.3792881720442884,4.0,0.2675206070530532,1,0.0,True,0.22417530363717417,0.6687793301535838,0.10704536620924202,0.12729015462025187,0.027829838438729146,0.2261850057428486,0.3813049988018296,0.21669223723359407,0.590338903550908,0.22485664919644777,0.8253645161328653,0.01937295512532631,0.06706053899474113,0.22485664919644777,0.2844661290332163,0.0,0.5408983870996491,0.24422960432177407,0.8924250551276065,0.1322956465221902,0.3451121333492524,0.016180252721762982,1.245755688836714,0.8620747503853485,expanded_search,0.3813049988018296,1.0,0.0,1476,True,"401,801,1601",1,461,8.15187329523126e-05,2971,False
0.75,0.8,0.8,0.25,0.8,core_arrivals,0.3292398733701575,0.43430284948311054,1.0,0.30821431660016513,1,0.0,True,0.6345589625827273,0.24272955670344842,0.12271148071382439,0.13843691303399486,0.07721812038502406,0.04271760224265448,0.2583726356616734,0.22859769033361152,0.3306045295716096,0.2469299050276181,0.3257271371123329,0.012615334061995411,0.07565311972976727,0.2469299050276181,0.3257271371123329,0.0,0.0,0.2595452390896135,0.4013802568421002,0.08955461227158582,0.1254979592781106,0.0,0.35025078287786987,0.0,fixed_arrivals,0.2583726356616734,1.0,0.0,260,True,"401,801,1601",1,260,0.00035230939762026514,2971,False
0.75,0.8,0.8,0.25,0.8,incumbent_only,0.42251030937696604,0.5784542612832354,1.0,0.3704454422218654,1,0.0,True,0.4574613305489105,0.35963050838888466,0.1829081610622048,0.1400860161884268,0.006154135359919185,0.018456640586574886,0.1646967921349209,0.030756026643970095,0.11733125098205019,0.0,0.0,0.031238920293060406,0.12480529143682204,0.0,0.0,0.0,0.0,0.031238920293060406,0.12480529143682204,0.07246429407030343,0.0,0.0,0.0,0.0,incumbent_only,0.1646967921349209,1.0,0.0,259,True,"401,801,1601",1,254,6.265412100997514e-06,2971,False
1.0,0.8,0.8,0.25,0.8,expanded_search,0.27385072238410507,0.35839172986335627,4.0,0.24438346334904595,1,0.0,True,0.23628484863956498,0.6694333243223386,0.09428182703809643,0.15743841956334304,0.03457154947069957,0.2550085377178133,0.4470185067518559,0.25727136487621544,0.6698165487146908,0.27385072238410507,1.0169002527867588,0.023573807228047295,0.09120661321144825,0.27385072238410507,0.35839172986335627,0.0,0.6585085229234025,0.2974245296121524,1.108106865998207,0.14397501968753423,0.42394760950710475,0.017584967921793704,1.657233760151942,1.1421420008529881,expanded_search,0.4470185067518559,1.0,0.0,1455,True,"401,801,1601",1,436,9.239588775605823e-05,2952,False
1.0,0.8,0.8,0.25,0.8,core_arrivals,0.31083176019606606,0.41902651851529266,1.0,0.29032381533173696,1,0.0,True,0.625554978740536,0.26168889646892224,0.11275612479054185,0.17365571191693793,0.09000067695736137,0.0548601012704029,0.31851649014470224,0.2790879381722246,0.4066605889430314,0.31083176019606606,0.41902651851529266,0.016406355891463286,0.10296216254684457,0.31083176019606606,0.41902651851529266,0.0,0.0,0.32723811608752934,0.5219886810621372,0.10494061668147026,0.1567657834801608,0.0,0.4573853329614822,0.0,fixed_arrivals,0.31851649014470224,1.0,0.0,263,True,"401,801,1601",1,274,0.0004669652627619647,2952,False
1.0,0.8,0.8,0.25,0.8,incumbent_only,0.40685287892244504,0.5684800017800753,1.0,0.3560722884510164,1,0.0,True,0.457045300780135,0.3714741067728661,0.17148059244699884,0.17769383655129833,0.007559229830734833,0.024117617244641117,0.2093706836266743,0.039810360014180625,0.15627289389039684,0.0,0.0,0.04062447237714291,0.1699261706632471,0.0,0.0,0.0,0.0,0.04062447237714291,0.1699261706632471,0.08908112648090577,0.0,0.0,0.0,0.0,incumbent_only,0.2093706836266743,1.0,0.0,259,True,"401,801,1601",1,264,4.149038849002307e-05,2952,False
1.5,0.8,0.8,0.25,0.8,expanded_search,0.23590452830337894,0.32468550873957536,4.0,0.2112424091618168,1,0.0,True,0.2482412062450246,0.6745745487745834,0.07718424498039189,0.20750533373832966,0.044005977067255314,0.2881998739599934,0.5397111847655784,0.31849475759519313,0.7675882676699574,0.3538567924550684,1.3231130524374521,0.029594542969874564,0.1361317194933103,0.3538567924550684,0.48702826310936304,0.0,0.8360847893280892,0.383451335424943,1.4592447719307624,0.152906979833938,0.545669965977177,0.01847674289390478,2.4600221578398616,1.689576935245189,expanded_search,0.5397111847655784,1.0,0.0,1443,True,"401,801,1601",1,475,0.00023205058848674298,2941,False
1.5,0.8,0.8,0.25,0.8,core_arrivals,0.27895190539320647,0.3908177264077383,1.0,0.2596358824467759,1,0.0,True,0.6069502048253784,0.2963322851084862,0.09671751006613542,0.2325908143470844,0.10583885961149407,0.07593674497630591,0.4143664189348844,0.35699776935261945,0.5246219051232855,0.4184278580898097,0.5862265896116075,0.02317922753571671,0.15741821275315496,0.4184278580898097,0.5862265896116075,0.0,0.0,0.4416070856255264,0.7436448023647624,0.12408302841479123,0.2089047475368417,0.0,0.6618223625089704,0.0,fixed_arrivals,0.4143664189348844,1.0,0.0,261,True,"401,801,1601",1,228,0.0005780997789684439,2941,False
